field_season 	date_collected	plot_number	species_sex 	weight	callibration_issue 
2013	7/16/13	2	DM	F	NA	F
2013	7/16/13	7	DM	M	33	F
2013	7/16/13	3	DM	M	NA	F
2013	7/16/13	1	DM	M	NA	F
2013	7/18/13	3	DM	M	40	F
2013	7/18/13	7	DM	M	48	F
2013	7/18/13	4	DM	F	29	F
2013	7/18/13	6	DM	F	37	F
2013	8/19/13	8	DO	F	52	F
2013	10/17/13	3	DO	F	33	F
2013	10/17/13	3	DO	F	50	F
2013	12/10/13	9	DO	F	40	F
2013	12/10/13	1	DO	M	45	F
2013	12/11/13	8	DO	F	41	F
2013	11/12/13	9	DS	F	117	F
2013	11/13/13	11	DS	F	126	F
2013	11/13/13	17	DS	M	132	T
2013	11/13/13	14	DS	F	113	T
2013	11/13/13	11	DS	F	122	F
2013	11/13/13	4	DS	F	107	F
2013	11/13/13	4	DS	F	115	F
2014	1/9/14	1	DM	M	40	F
2014	1/9/14	1	DM	F	36	F
2014	3/13/14	1	DM	F	51	F
2014	3/13/14	1	DM	F	44	F
2014	3/13/14	1	DS	F	146	F
2014	1/8/14	2	NA	NA	NA	F
2014	1/8/14	2	DM	M	44	F
2014	1/8/14	2	PF	F	7	F
2014	1/8/14	2	DM	M	45	F
2014	1/8/14	2	OT	NA	NA	F
2014	1/8/14	2	DS	M	157	T
2014	1/8/14	2	OX	NA	NA	F
2014	2/18/14	2	NA	M	218	T
2014	2/18/14	2	PF	F	7	F
2014	2/18/14	2	DM	M	52	F
2014	3/11/15	3	PF	M	8	F
2014	4/8/15	3	NA	F	NA	F
2014	5/6/15	3	NA	NA	NA	F
2014	5/18/15	3	NA	F	182	F
2014	6/9/15	3	OT	F	29	F
2014	7/8/15	3	NA	F	115	F
2014	7/8/15	3	NA	M	190	F
2014	1/8/78	4	DM	F	37	F
2014	1/8/78	4	DM	M	NA	F
2014	1/8/78	4	DM	F	48	F
2014	1/8/78	4	DO	M	52	F
2014	1/8/78	4	OL	M	35	F
